,function_type,function_input,predicted_cpu,predicted_frequency,energy,duration,cpu_util,prediction_time
875,linpack,['1000'],10,1200000,242.20942247047984,15407.0,11.257308495978892,0.1364411039976403
876,floatmatmult,"['matrix1_8000_0.7.txt', 'matrix1_8000_0.7.txt']",2,1000000,2966.9427594701388,306156.0,2.509105257634709,0.20344967406708747
877,encrypt,"['5000', '10']",16,1600000,8.419018925460385,940.0,1.019493633066275,0.1679611220024526
878,encrypt,"['1000', '50']",13,2000000,6.596454574797243,750.0,1.0586697817223373e-06,0.16415523702744395
879,floatmatmult,"['matrix1_8000_0.7.txt', 'matrix1_8000_0.7.txt']",28,1600000,1294.526020869688,130297.0,30.562755585492265,0.20761844795197248
880,imageprocess,['4.6M-german_air_force_a340_3001602_517125.jpg'],13,2200000,23.25116821115733,2567.0,1.06049881464353,0.277567803976126
881,floatmatmult,"['matrix1_4000_0.3.txt', 'matrix1_4000_0.3.txt']",13,2000000,241.96478965362024,19881.0,13.788418314309434,0.2028667600825429
882,linpack,['2000'],28,2400000,353.3090661080937,6039.0,32.48065063976567,0.13863806705921888
883,linpack,['250'],7,2400000,22.83982028627468,1292.0,7.498628394826904,0.14009719796013087
884,floatmatmult,"['matrix1_1000_0.3.txt', 'matrix1_1000_0.3.txt']",25,1400000,28.13168677121824,2737.0,11.219620516117306,0.2027252889238298
885,videoprocess,['1008K-grb_2.avi'],16,2200000,49.40970030556379,4373.0,3.956226999021928,0.3123076360207051
886,imageprocess,['4.1M-backlit_flower_513144.jpg'],5,1200000,25.618255288741384,5910.0,1.0386138636275386,0.2794543920317665
887,videoprocess,['5.6M-DLP_PART_2_768k.avi'],28,1600000,287.0308521388228,13598.0,11.82792849188866,0.30915383296087384
888,imageprocess,['2.5M-feliz_quinta_flower_513506.jpg'],10,1000000,31.35434951502259,5270.0,1.0484106171826142,0.28405639296397567
889,imageprocess,['1.6M-lisbon_sunset_514529.jpg'],7,1400000,20.310452686106284,2973.0,1.3676891016244368,0.2803878689883277
890,floatmatmult,"['matrix1_6000_0.3.txt', 'matrix1_6000_0.3.txt']",13,1200000,828.7271466005361,85041.0,14.00522590143246,0.20457043196074665
891,imageprocess,['12M-disabled_fashion_513292.jpg'],5,1400000,49.2345918817941,10322.0,2.9363452619155765,0.27673378598410636
892,linpack,['4000'],2,2400000,2836.4590943644407,152703.0,2.464603607293717,0.13799845695029944
893,videoprocess,['284K-flame.avi'],1,1000000,3.3143054457200884,1475.0,1.061386866818121,0.30919088202062994
894,floatmatmult,"['matrix1_1000_0.3.txt', 'matrix1_1000_0.3.txt']",13,1400000,18.033473110893706,2838.0,6.091640178714564,0.20443803304806352
895,encrypt,"['500', '30']",31,1000000,2.1787190891133057,534.0,8.183305099603143e-07,0.1658938949694857
896,encrypt,"['50000', '100']",3,1800000,847.6671519723295,76785.0,1.0178436393667876,0.1627771919593215
897,videoprocess,['1.5M-bird.avi'],28,2400000,7.902803850019961,899.0,1.0562340184347097,0.3092676450032741
898,floatmatmult,"['matrix1_8000_0.7.txt', 'matrix1_8000_0.7.txt']",3,2200000,1808.5481555173828,132573.0,3.6559280451647154,0.2013934429269284
899,floatmatmult,"['matrix1_8000_0.3.txt', 'matrix1_8000_0.3.txt']",2,2200000,1804.6554583577145,132608.0,2.7849298566986294,0.2015536439139396
900,encrypt,"['35000', '10']",10,2000000,56.721158012501306,4950.0,1.0158895470225442,0.16749784897547215
901,linpack,['5000'],19,1600000,607.757484091979,21239.0,22.33391479271261,0.1399525519227609
902,videoprocess,['2.2M-star_trails.avi'],2,2200000,75.09417887358006,8980.0,1.3773974603140295,0.299932588939555
903,floatmatmult,"['matrix1_8000_0.7.txt', 'matrix1_8000_0.7.txt']",1,1400000,2665.751091751176,261485.0,1.7446729904369074,0.20309024897869676
904,encrypt,"['35000', '25']",1,2400000,151.5917581005435,10145.0,1.019348824624427,0.167249302030541
905,encrypt,"['50000', '25']",13,1600000,221.67549474949945,21676.0,1.0285551021301815,0.16267173399683088
906,linpack,['3500'],3,1400000,1600.1019955897054,131785.0,3.5420650846077666,0.13655499403830618
907,linpack,['1500'],1,1000000,2525.833055880311,282217.0,1.5322434460709138,0.1345255880150944
908,videoprocess,['404K-small.avi'],1,1400000,5.025850348784164,1861.0,1.0373276578843391,0.3058644530829042
909,videoprocess,['5.6M-DLP_PART_2_768k.avi'],28,2000000,266.4419586338228,10943.0,12.477125472380663,0.3082017940469086
910,floatmatmult,"['matrix1_1000_0.7.txt', 'matrix1_1000_0.7.txt']",10,2200000,25.832421010694688,2197.0,4.899004579513271,0.20210203400347382
911,imageprocess,['13M-forest_515915.jpg'],25,2000000,50.47666595249906,8386.0,1.0689998751544385,0.2798011109698564
912,linpack,['3000'],1,1400000,3758.081326438639,367202.0,1.372913044046166,0.1414940400281921
913,floatmatmult,"['matrix1_8000_0.7.txt', 'matrix1_8000_0.7.txt']",7,2400000,1783.8872675068524,97016.0,7.657138298253152,0.2022105579962954
914,imageprocess,['2.5M-fashion_cupcakes_513638.jpg'],1,1200000,19.13833588708048,4676.0,1.048123960430376,0.28155197703745216
915,encrypt,"['35000', '30']",13,1000000,248.7186569452515,29296.0,1.028761174799961,0.16483562299981713
916,encrypt,"['10000', '25']",22,2000000,37.40395525678728,3517.0,1.0292185038102286,0.16869204700924456
917,imageprocess,['1.3M-daisy_514381.jpg'],10,1800000,24.496419078999207,2845.0,1.0604243916865792,0.2809155019931495
918,videoprocess,['660K-drop.avi'],31,2400000,5.59467259698312,598.0,11.877720647837709,0.3031647700117901
919,encrypt,"['5000', '100']",2,1200000,103.69501720402006,11696.0,1.0373429937308571,0.16501339699607342
920,floatmatmult,"['matrix1_2000_0.3.txt', 'matrix1_2000_0.3.txt']",22,2200000,72.63045214488488,4644.0,12.429324634504985,0.2019100529141724
921,floatmatmult,"['matrix1_6000_0.3.txt', 'matrix1_6000_0.3.txt']",31,1200000,698.2014007598384,82749.0,35.012929305270184,0.2025366579182446
922,videoprocess,['284K-flame.avi'],5,2400000,3.430200389007732,516.0,2.278558880180212e-06,0.3042300658999011
923,linpack,['1500'],5,1600000,588.9040876699739,38621.0,5.67419848810548,0.13837883505038917
924,encrypt,"['500', '75']",16,1000000,7.900581690171532,1195.0,1.0265881937354375,0.16645875293761492
925,linpack,['5000'],22,1400000,527.9722416457994,20435.0,24.77228361702129,0.13708552496973425
926,linpack,['3000'],1,1400000,3758.081326438639,367202.0,1.372913044046166,0.13606711092870682
927,linpack,['3500'],19,2000000,533.4639077680167,14902.0,20.700170113691275,0.13758179801516235
928,floatmatmult,"['matrix1_4000_0.3.txt', 'matrix1_4000_0.3.txt']",5,1000000,376.2466459178229,42718.0,6.419596125185144,0.204569780966267
929,imageprocess,['2.5M-fashion_cupcakes_513638.jpg'],28,1800000,17.629450285287927,2878.0,1.7993786201883664,0.2782918040174991
930,linpack,['4000'],5,2400000,1172.4278894536526,52411.0,5.698888792745912,0.13559395098127425
931,videoprocess,['5.6M.mp4'],7,1400000,134.85017474349317,22842.0,2.0707558549947858,0.30551688093692064
932,videoprocess,['820K-cbw3.avi'],7,2400000,3.9218136302368345,766.0,3.364530059996599e-06,0.30847077490761876
