tid,start_time,end_time,function,container_id,duration,cold_start_latency,cpu,inputs,p90_cpu,p95_cpu,p99_cpu,max_cpu,max_mem,invoker_ip
#tid_4879d292475300234a734ad989d063e4,2023-09-15T02:06:30.009Z,2023-09-15T02:06:32.523Z,imageprocess_20,e8d35d517c89ffca240bfe85200feae83e286d3b1e632fd9045c4b1e66bab446,2514,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_0763b0bb278966eab9fb7e6c81e6922b,2023-09-15T02:06:40.387Z,2023-09-15T02:06:42.905Z,imageprocess_20,e8d35d517c89ffca240bfe85200feae83e286d3b1e632fd9045c4b1e66bab446,2518,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_1d6d046140f28c472f15796fad52cd17,2023-09-15T02:08:16.637Z,2023-09-15T02:08:19.153Z,imageprocess_20,e8d35d517c89ffca240bfe85200feae83e286d3b1e632fd9045c4b1e66bab446,2516,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_9c83b8e92d2a5d5df3c937d1f77bc723,2023-09-15T02:09:32.005Z,2023-09-15T02:09:34.551Z,imageprocess_20,e8d35d517c89ffca240bfe85200feae83e286d3b1e632fd9045c4b1e66bab446,2545,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_3f5e6a25acbead95c7c96f36bdd9ed60,2023-09-15T02:10:04.653Z,2023-09-15T02:10:07.211Z,imageprocess_20,e8d35d517c89ffca240bfe85200feae83e286d3b1e632fd9045c4b1e66bab446,2558,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_528b66621c4eb3fe013b167ee159dc85,2023-09-15T02:10:49.797Z,2023-09-15T02:10:52.409Z,imageprocess_20,e8d35d517c89ffca240bfe85200feae83e286d3b1e632fd9045c4b1e66bab446,2612,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_a5fe84a0d8339ea54dfbbff8d38193ff,2023-09-15T02:11:40.749Z,2023-09-15T02:11:43.356Z,imageprocess_20,e8d35d517c89ffca240bfe85200feae83e286d3b1e632fd9045c4b1e66bab446,2607,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_629395e1bdb1e1f009376fd21325e6fe,2023-09-15T02:12:57.457Z,2023-09-15T02:12:59.940Z,imageprocess_20,e8d35d517c89ffca240bfe85200feae83e286d3b1e632fd9045c4b1e66bab446,2483,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_62e485325980783876091c491bb5bc27,2023-09-15T02:13:58.197Z,2023-09-15T02:14:00.745Z,imageprocess_20,e8d35d517c89ffca240bfe85200feae83e286d3b1e632fd9045c4b1e66bab446,2547,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_ad5f3b0a48923ab7d0224c7553a07746,2023-09-15T02:14:20.193Z,2023-09-15T02:14:22.727Z,imageprocess_20,e8d35d517c89ffca240bfe85200feae83e286d3b1e632fd9045c4b1e66bab446,2533,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_ebfb854988f8b32688d03f2596ec80bd,2023-09-15T02:17:14.976Z,2023-09-15T02:17:28.016Z,floatmatmult_20,cec042d90edc75b9a98d453a8d14f70ddbb195d066888a4e345c8f2e94a3a4f8,13039,676,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_8fa56df8e360746daaa65e129df4ea4a,2023-09-15T02:19:20.441Z,2023-09-15T02:19:33.683Z,floatmatmult_20,cec042d90edc75b9a98d453a8d14f70ddbb195d066888a4e345c8f2e94a3a4f8,13241,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_4c334031cf024ff3c3b578711448c020,2023-09-15T02:20:33.849Z,2023-09-15T02:20:46.930Z,floatmatmult_20,cec042d90edc75b9a98d453a8d14f70ddbb195d066888a4e345c8f2e94a3a4f8,13080,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_404fd2fbdbf6cb489ce92a11b4816e7e,2023-09-15T02:21:12.045Z,2023-09-15T02:21:14.659Z,imageprocess_20,e8d35d517c89ffca240bfe85200feae83e286d3b1e632fd9045c4b1e66bab446,2613,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_97ac5f4091980bc17befd4d3f4b6db05,2023-09-15T20:58:26.717Z,2023-09-15T20:58:29.719Z,imageprocess_20,bc6bced3bf7b164a4a558c86a6999bdbe219c27037ee9bb3d9d23dca3feb8b27,3001,343,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_f01453574c2b0be3db5f9f96faca6104,2023-09-15T20:58:27.070Z,2023-09-15T20:58:40.379Z,floatmatmult_20,88ba7c940fada15a09f7ae9a3af2aa4d3a69a75d56494d81bc08bfa1cb1bd18b,13309,695,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_429d04ce98f91e19b7e48b6ae4779af9,2023-09-15T20:59:13.419Z,2023-09-15T20:59:16.066Z,imageprocess_20,bc6bced3bf7b164a4a558c86a6999bdbe219c27037ee9bb3d9d23dca3feb8b27,2646,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_692fabaa061ed5cf4f15b09e1fc58785,2023-09-15T20:59:13.437Z,2023-09-15T20:59:25.865Z,floatmatmult_20,88ba7c940fada15a09f7ae9a3af2aa4d3a69a75d56494d81bc08bfa1cb1bd18b,12428,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_c4e1cee39f534e827ce8674cd006d5fe,2023-09-15T21:00:08.837Z,2023-09-15T21:00:11.458Z,imageprocess_20,bc6bced3bf7b164a4a558c86a6999bdbe219c27037ee9bb3d9d23dca3feb8b27,2620,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_0c53d56d6a4f7db096a712a972f3dc72,2023-09-15T21:00:08.840Z,2023-09-15T21:00:21.371Z,floatmatmult_20,88ba7c940fada15a09f7ae9a3af2aa4d3a69a75d56494d81bc08bfa1cb1bd18b,12531,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_c0a2322214fc23654784e59272b20720,2023-09-15T21:00:12.472Z,2023-09-15T21:00:15.445Z,imageprocess_20,72a80856f7c8a538a546c5b3d32c821e4ce9c112ea85e20fae07d50a7d5c8388,2972,303,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_ddbda1e85494750845fa3ca6bc52cfe9,2023-09-15T21:01:35.493Z,2023-09-15T21:01:38.412Z,imageprocess_20,88ba79c118dc304a88fe9afdd4fcf3e82013db436180c01d0dc818233a5af7a9,2918,317,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_ce45296ad76b99c961d9ecf744327150,2023-09-15T21:02:02.489Z,2023-09-15T21:02:04.975Z,imageprocess_20,88ba79c118dc304a88fe9afdd4fcf3e82013db436180c01d0dc818233a5af7a9,2486,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_422e0bf4c67d0e82481c4529227f4d88,2023-09-15T21:02:20.261Z,2023-09-15T21:02:22.826Z,imageprocess_20,88ba79c118dc304a88fe9afdd4fcf3e82013db436180c01d0dc818233a5af7a9,2565,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_b06eda4f86d38efe236067f1c178c710,2023-09-15T21:03:56.210Z,2023-09-15T21:03:59.438Z,imageprocess_1,267825d05fe79442ada8a85e41dad9f546c15b8e834b1a933d4f29ae4d9acc23,3228,823,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_318406f1dda3f2cb39faa6736a40b7ea,2023-09-15T21:06:55.498Z,2023-09-15T21:06:58.741Z,imageprocess_1,1aaa788541f6092fc5e75178457c890ff95f748c36ee1027045ceebbda30462f,3242,793,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_1ed557d437ebc4d384240d646a1ec27e,2023-09-15T21:07:10.308Z,2023-09-15T21:07:13.300Z,imageprocess_4,935cc46dafc66d5fa2572348f6f210598d9dfba9f6dbe4da0587d4d2adbd67a0,2991,386,-1,"[-1, -1]",,,,,,129.114.108.158
