CPU	CPU%c6
35	99.89
31	99.95
27	99.83
41	99.92
45	99.93
47	99.42
43	99.95
39	99.73
 
CPU	CPU%c6
-	96.92
0	0.00
4	99.84
8	93.73
10	99.80
6	98.90
2	99.66
12	98.42
16	99.93
20	99.93
22	99.28
18	99.87
14	97.57
24	99.05
28	99.93
32	98.56
36	99.85
34	98.84
30	95.47
26	99.93
40	97.90
44	99.80
46	99.61
42	96.02
38	96.38
1	98.57
5	99.47
9	98.38
13	99.87
11	99.29
7	99.15
3	99.80
17	99.93
21	99.47
25	99.86
23	99.93
19	99.81
15	99.93
29	92.51
33	99.93
37	99.90
35	99.93
31	99.85
27	99.74
41	99.93
45	99.93
47	99.37
43	99.90
39	99.49
 
CPU	CPU%c6
-	96.93
0	0.00
4	99.95
8	93.22
10	99.85
6	98.89
2	99.88
12	98.54
16	99.85
20	99.95
22	99.32
18	99.95
14	98.20
24	98.95
28	99.93
32	98.55
36	99.92
34	98.74
30	95.50
26	99.91
40	96.03
44	99.88
46	99.56
42	94.91
38	99.49
1	98.64
5	99.67
9	97.11
13	99.90
11	99.42
7	99.05
3	99.18
17	99.95
21	99.93
25	99.95
23	99.95
19	99.89
15	99.95
29	93.15
33	99.87
37	99.95
35	99.90
31	99.95
27	99.53
41	99.93
45	99.95
47	99.28
43	99.93
39	99.75
 
CPU	CPU%c6
-	96.91
0	0.00
4	99.95
8	93.12
10	99.80
6	98.61
2	99.90
12	98.48
16	99.93
20	99.95
22	99.61
18	99.95
14	97.89
24	98.49
28	99.95
32	98.57
36	99.92
34	98.74
30	95.50
26	99.95
40	95.74
44	99.83
46	99.59
42	95.57
38	98.59
1	98.54
5	99.44
9	98.52
13	99.90
11	98.52
7	99.14
3	99.88
17	99.89
21	99.93
25	99.95
23	99.93
19	99.88
15	99.95
29	92.26
33	99.85
37	99.95
35	99.95
31	99.86
27	99.93
41	99.95
45	99.95
47	99.49
43	99.95
39	99.65
 
CPU	CPU%c6
-	96.93
0	0.00
4	99.54
8	93.63
10	99.82
6	99.15
2	99.45
12	97.32
16	99.93
20	99.90
22	99.58
18	99.86
14	97.87
24	98.86
28	99.93
32	98.20
36	99.90
34	98.60
30	95.50
26	99.90
40	94.13
44	99.80
46	99.55
42	99.16
38	96.76
